No. inseason,Title,Directed by,Written by,Original air date [20],U.S. viewers(millions)
1,"""Valar Dohaeris""",Daniel Minahan,David Benioff & D. B. Weiss,"March 31, 2013 (2013-03-31)",4.37[41]
2,"""Dark Wings, Dark Words""",Daniel Minahan,Vanessa Taylor,"April 7, 2013 (2013-04-07)",4.27[42]
3,"""Walk of Punishment""",David Benioff,David Benioff & D. B. Weiss,"April 14, 2013 (2013-04-14)",4.72[43]
4,"""And Now His Watch Is Ended""",Alex Graves,David Benioff & D. B. Weiss,"April 21, 2013 (2013-04-21)",4.87[44]
5,"""Kissed by Fire""",Alex Graves,Bryan Cogman,"April 28, 2013 (2013-04-28)",5.35[45]
6,"""The Climb""",Alik Sakharov,David Benioff & D. B. Weiss,"May 5, 2013 (2013-05-05)",5.50[46]
7,"""The Bear and the Maiden Fair""",Michelle MacLaren,George R. R. Martin,"May 12, 2013 (2013-05-12)",4.84[47]
8,"""Second Sons""",Michelle MacLaren,David Benioff & D. B. Weiss,"May 19, 2013 (2013-05-19)",5.13[48]
9,"""The Rains of Castamere""",David Nutter,David Benioff & D. B. Weiss,"June 2, 2013 (2013-06-02)",5.22[49]
10,"""Mhysa""",David Nutter,David Benioff & D. B. Weiss,"June 9, 2013 (2013-06-09)",5.39[50]
